Federal Provider Number,Provider Zip Code,Ownership Type,Date First Approved to Provide Medicare and Medicaid services,Overall Rating,Reported RN Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total Amount of Fines in Dollars,Facility age,Government,Non profit,For profit,Young (<33% Percentile),Medium (33%-66% Percentile),Old (>66% Percentile),4- or 5-Star Overall Rating,3-Star Overall Rating,1- or 2-Star Overall Rating,0.75 RN staffing hours per resident day or higher,Under 0.75 RN staffing hours per resident day ,4.1 nurse staffing hours per resident day or higher,Under 4.1 nurse staffing hours per resident day,No fine,Small fine (1-<Median),Large fine (>=Median),No federal deficiencies,Federal deficiencies,Serious federal deficiencies
495201,23701,Non profit - Corporation,09/20/1989,1,0.47167,3.42957,57798,31,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,47,2
51E109,25801,Government - State,09/29/1981,4,0.47738,3.88028,0,39,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,36,0
676185,76048,For profit - Corporation,06/03/2008,5,0.44792,3.16996,0,12,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,5,1
676046,76802,For profit - Corporation,02/28/2005,3,0.30534,3.49132,0,15,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,6,1
365185,44512,For profit - Corporation,04/01/1973,2,0.65732,3.12782,18601,47,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,22,1
525262,53538,For profit - Corporation,06/01/1979,5,1.54548,3.6052,0,41,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10,1
375547,74136,Non profit - Church related,11/15/2011,5,0.62972,6.01787,0,9,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,5,0
295046,89005,For profit - Corporation,04/19/1989,4,0.69041,4.0364,0,31,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,29,0
365474,43112,For profit - Corporation,03/13/1980,2,0.55763,3.52419,0,40,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,26,1
345092,27104,For profit - Corporation,07/01/1973,1,0.2319,3.43751,24669,47,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,47,1
335128,12208,Non profit - Church related,01/01/1967,2,0.71574,4.04709,0,54,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,21,0
395536,16101,For profit - Corporation,07/23/1982,3,0.49125,3.30045,0,38,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,23,0
335139,11375,For profit - Partnership,11/18/1968,5,0.5317,3.32199,6893,52,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,3,2
365514,45503,For profit - Corporation,08/01/1980,2,0.61345,2.99633,8775,40,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,35,2
345533,27517,Non profit - Corporation,04/29/2005,5,1.17542,6.2546,0,15,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
366421,45140,For profit - Corporation,10/03/2014,5,0.63652,2.99851,0,6,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,15,0
365454,45385,Government - County,02/29/1980,4,0.66437,3.439,0,40,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,14,0
335811,11207,For profit - Corporation,11/24/1998,3,0.60853,3.49659,0,22,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,21,0
345115,28144,For profit - Limited Liability company,07/01/1974,1,0.3992,3.32927,11378,46,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,24,12
555180,95667,Non profit - Other,12/07/1984,2,0.23539,4.37243,0,36,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,35,0
365539,44483,For profit - Corporation,06/18/1980,3,0.31216,3.36646,0,40,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,19,0
525352,53813,For profit - Corporation,03/01/1984,2,0.66399,3.12984,13626,36,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,20,2
366316,45220,Non profit - Corporation,11/01/2005,5,0.958,5.0795,0,15,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,14,0
445232,38008,For profit - Limited Liability company,09/06/1989,3,0.34112,3.45934,0,31,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,15,0
375333,74960,For profit - Individual,02/01/1998,2,0.34549,4.40956,0,22,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,29,1
675989,79529,For profit - Corporation,09/29/2003,5,0.29311,2.62342,0,17,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0
395075,18042,For profit - Partnership,01/01/1967,5,0.61624,3.60343,0,54,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,14,0
525321,53573,For profit - Corporation,07/01/1982,3,0.92645,3.0954,0,38,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,12,0
295011,89447,Non profit - Corporation,01/15/1967,5,0.56765,5.13484,0,54,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,24,0
675958,75501,For profit - Corporation,04/03/2003,1,0.30125,3.09431,109149,17,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,36,1
305056,03303,Government - County,04/01/1996,4,0.59068,4.22395,6500,24,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,6,1
555218,90018,For profit - Limited Liability company,02/21/1986,4,0.56192,3.86564,0,34,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,30,1
26A206,65560,For profit - Corporation,04/02/1985,1,0.12812,3.39521,0,35,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,16,0
315138,07054,For profit - Corporation,06/12/1972,3,0.9012,3.4986,0,48,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,16,0
265805,63021,Non profit - Corporation,01/01/2007,5,1.60606,5.90604,0,14,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,9,0
345264,28164,Non profit - Corporation,07/23/1987,5,0.65513,4.25391,0,33,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,9,0
675142,75701,For profit - Corporation,05/01/1993,1,0.13625,3.58907,8262,27,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,37,1
455975,77401,For profit - Corporation,11/26/1991,4,1.17533,5.56802,0,29,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,13,0
676048,75647,For profit - Corporation,12/01/2004,5,0.43184,2.75958,0,16,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,16,0
445519,37066,For profit - Corporation,10/19/2015,4,0.89392,4.80513,0,5,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,10,0
366062,44452,For profit - Corporation,06/05/1996,4,0.82547,4.72456,0,24,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,12,0
495034,24450,Non profit - Corporation,01/01/1967,5,0.97511,5.00843,0,54,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,10,1
415007,02915,For profit - Corporation,01/01/1967,4,0.93839,3.91166,0,54,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,3,0
335366,14618,For profit - Individual,11/01/1976,3,0.63345,3.76396,0,44,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,16,0
285178,68745,Government - City,02/01/1996,4,0.77488,4.61315,0,24,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,22,0
445205,37421,For profit - Corporation,06/29/1988,2,0.63472,2.85322,32806,32,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,31,1
365254,45891,For profit - Corporation,12/23/1970,5,0.58216,3.59674,0,50,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,10,0
366282,45056,Non profit - Corporation,12/23/2003,5,0.68906,4.85899,0,17,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,7,0
505358,98531,For profit - Limited Liability company,09/07/1989,2,0.53563,3.42144,8125,31,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,49,1
345326,28105,Non profit - Corporation,09/06/1990,5,1.45048,4.35897,0,30,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
366407,44256,For profit - Corporation,06/20/2013,5,0.89666,3.64872,0,7,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,6,0
395499,17981,For profit - Corporation,02/20/1981,4,0.39004,3.17159,0,39,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,7,0
315364,07724,For profit - Corporation,04/03/1997,4,0.63343,3.30615,3250,23,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,6,0
455737,76837,For profit - Corporation,02/12/1988,4,0.19067,3.7172,0,32,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,7,0
285276,68022,Non profit - Corporation,11/20/2007,5,1.44223,5.98565,0,13,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,9,0
495337,22003,For profit - Corporation,04/01/1999,4,0.55792,3.69779,0,21,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,27,1
675969,75009,For profit - Corporation,05/29/2003,1,0.27522,3.3618,25846,17,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,17,3
366409,43551,For profit - Corporation,08/03/2013,5,1.16396,4.4973,0,7,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0
415119,02908,For profit - Corporation,05/03/1995,2,0.34267,3.02184,0,25,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,10,0
315021,07011,Non profit - Corporation,01/01/1967,5,1.04515,3.75836,0,54,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,9,0
676091,76903,Non profit - Corporation,04/01/2006,5,0.79017,5.15275,0,14,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,10,0
445251,37185,For profit - Corporation,04/09/1990,5,0.44115,4.16092,0,30,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4,0
375459,73701,For profit - Corporation,07/01/2004,2,0.37823,3.54087,0,16,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,31,0
325057,88260,For profit - Limited Liability company,12/01/1991,3,0.5883,2.90884,8775,29,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,25,4
315260,08068,For profit - Partnership,03/04/1988,1,0.18272,3.02563,12505,32,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,19,1
495257,23113,For profit - Corporation,09/24/1991,2,0.40393,3.29078,0,29,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,54,0
396079,17557,Non profit - Corporation,10/19/2001,5,0.9946,5.00927,0,19,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
335224,10606,For profit - Corporation,06/12/1967,2,0.7513,3.50687,0,53,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,19,0
345365,28501,For profit - Corporation,05/02/1991,5,0.56818,3.58387,0,29,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,5,0
465066,84123,Government - County,07/18/1977,2,1.09404,3.38895,30039,43,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,40,4
305039,03038,For profit - Corporation,02/13/1990,2,0.61189,3.2402,0,30,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,12,0
505140,98225,For profit - Limited Liability company,05/31/1972,2,0.94435,3.42051,39653,48,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,68,17
415033,02840,For profit - Individual,01/01/1975,2,0.71769,3.09213,0,46,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,9,0
555120,94954,For profit - Corporation,11/07/1980,2,0.57033,3.80601,28789,40,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,35,2
366303,43235,For profit - Corporation,11/08/2004,5,0.66193,3.43047,0,16,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,14,0
445329,37150,For profit - Corporation,06/01/1994,1,0.24685,3.37734,0,26,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,17,0
366240,44256,Non profit - Corporation,06/21/2002,5,0.70877,3.79164,13500,18,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,5,1
676393,79927,For profit - Limited Liability company,03/09/2016,1,0.18056,3.11997,134757,4,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,28,4
415063,02852,Non profit - Corporation,03/01/1979,4,0.87454,3.31031,0,41,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,7,0
525699,54476,For profit - Corporation,06/29/2009,5,1.14755,4.46289,0,11,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,6,1
395171,18103,Non profit - Church related,02/23/1967,4,0.76859,3.79718,0,53,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,13,0
375382,74055,Non profit - Corporation,05/09/2000,4,0.40492,4.82083,0,20,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,9,0
275040,59923,For profit - Limited Liability company,10/01/1971,3,0.55372,3.03367,13527,49,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,18,2
505516,98360,Government - State,01/01/2007,2,0.896,4.82986,16084,14,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,55,11
676221,77493,For profit - Limited Liability company,06/02/2009,1,0.47594,3.59205,45639,11,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,28,9
676399,76877,For profit - Corporation,08/30/2016,3,0.23161,2.77281,13000,4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,15,2
315217,07060,For profit - Partnership,09/11/1985,5,0.46116,3.51828,0,35,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,6,0
285259,68370,Non profit - Church related,07/01/2004,2,0.49107,4.24703,0,16,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,37,1
335337,10802,Non profit - Corporation,11/01/1971,4,0.77426,3.18696,0,49,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,14,0
425154,29501,For profit - Corporation,02/21/1986,4,0.47984,4.36842,0,34,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,19,0
495303,23181,Non profit - Corporation,09/01/1995,5,0.74677,3.39739,0,25,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,25,0
52A429,54534,For profit - Individual,07/01/1991,3,1.13423,3.41037,0,29,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,7,2
365646,44805,For profit - Corporation,01/03/1985,4,0.44157,3.83755,0,36,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,23,0
515165,26206,For profit - Corporation,11/06/1998,5,0.39555,3.43442,0,22,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
285218,68105,For profit - Individual,12/01/1997,4,0.99182,3.86372,0,23,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,20,0
425380,29585,For profit - Limited Liability company,08/05/2003,5,2.14236,7.52711,0,17,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,18,0
345223,28739,For profit - Limited Liability company,06/16/1982,1,0.52034,3.48229,0,38,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,22,2
375434,74937,For profit - Individual,03/29/2003,3,0.15187,3.16178,0,17,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,15,0
375241,74015,For profit - Corporation,07/24/1995,1,0.11982,2.86032,29988,25,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,13,3
366358,43440,Non profit - Church related,10/10/2007,5,3.67752,8.57713,0,13,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,5,0
395335,17044,For profit - Corporation,05/05/1978,4,0.50241,3.3501,0,42,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,26,0
676093,76567,For profit - Limited Liability company,04/01/2006,3,0.36789,3.8202,0,14,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,19,0
285124,68756,For profit - Corporation,10/01/1992,2,0.43929,4.07559,33200,28,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,15,1
555905,94541,For profit - Corporation,05/16/2017,3,0.36154,3.89623,9955,3,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,26,1
535027,82414,Government - Hospital district,01/22/1985,3,1.09104,3.71074,0,36,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,38,0
385220,97321,For profit - Corporation,06/13/1990,3,0.56416,4.40884,54587,30,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,43,1
525454,54720,For profit - Corporation,01/01/1990,2,1.29538,3.50137,0,31,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,31,2
676256,75082,For profit - Corporation,06/30/2010,2,0.56979,3.17386,27119,10,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,19,3
445483,37601,Non profit - Other,01/01/2007,2,0.53252,3.12452,0,14,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,15,12
675630,78355,For profit - Corporation,07/31/1996,2,0.22585,3.22586,107666,24,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,19,0
345050,27025,For profit - Corporation,05/08/1968,1,0.19772,3.29088,49740,52,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,19,1
315195,07922,For profit - Partnership,07/19/1983,4,0.72577,3.87067,15330,37,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,14,1
505372,99337,For profit - Limited Liability company,09/01/1990,5,1.07303,4.35487,32705,30,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,21,4
366325,44870,Government - State,10/01/2006,3,0.41434,3.62874,0,14,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,11,2
335665,10029,Non profit - Church related,08/17/1983,3,0.79229,4.31577,0,37,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,24,0
43A137,57366,Non profit - Church related,07/01/2011,4,0.85096,3.32615,0,9,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,9,0
335751,10452,For profit - Corporation,05/22/1991,4,0.55817,2.28653,0,29,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,6,0
555430,95991,Non profit - Corporation,08/20/1990,5,0.39674,3.95813,0,30,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,23,0
676020,76859,Government - Hospital district,01/15/2004,5,0.40498,3.94898,0,17,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,8,0
365389,43512,For profit - Corporation,07/31/1978,2,0.56544,3.26617,0,42,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,30,1
435107,57428,Government - City,09/01/1997,2,0.80557,3.76122,19246,23,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,17,2
396126,19460,For profit - Partnership,12/09/2009,5,2.39701,5.33067,0,11,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,4,0
345571,28403,For profit - Limited Liability company,08/18/2016,5,1.04824,6.56775,0,4,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,12,0
675935,76117,For profit - Corporation,08/05/2002,4,0.52293,3.6302,0,18,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,11,0
495149,23704,For profit - Corporation,10/01/1984,1,0.34717,2.99631,22302,36,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,46,2
375408,74066,For profit - Corporation,02/25/2002,4,0.28171,4.0718,0,18,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,15,0
335572,14580,For profit - Corporation,11/22/1976,5,0.97271,6.28198,0,44,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,6,0
675065,75833,Government - Hospital district,06/25/1992,3,0.44274,3.18935,5200,28,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,17,0
325032,87112,For profit - Corporation,12/01/1981,3,0.60218,3.41065,35744,39,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,27,8
365044,45209,Non profit - Corporation,06/13/1967,1,0.44566,4.20375,12864,53,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,67,1
535053,82201,Government - Hospital district,11/01/2010,5,1.30937,3.39728,0,10,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,25,0
425396,29073,Non profit - Corporation,03/26/2010,5,1.58285,6.13392,0,10,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0
335403,14513,Non profit - Corporation,08/06/1973,4,0.73557,4.85452,0,47,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,19,0
325069,87109,For profit - Corporation,05/01/1992,4,0.9277,3.64378,23660,28,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,38,1
395041,16511,For profit - Corporation,01/01/1967,4,0.47172,2.92002,0,54,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,20,0
345197,28139,For profit - Corporation,03/06/1980,1,0.26006,3.18779,3855,40,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,21,0
365361,45804,For profit - Corporation,09/20/1977,3,0.51599,3.41486,0,43,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,15,0
375485,73742,For profit - Limited Liability company,08/30/2005,2,0.31762,3.19078,0,15,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,24,0
505236,98026,For profit - Corporation,08/01/1977,1,0.68686,3.63157,130469,43,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,87,13
505261,98837,For profit - Corporation,01/01/1982,5,0.85438,3.78023,0,39,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,24,1
305083,03894,For profit - Corporation,02/12/1997,2,0.62187,3.5504,0,23,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,13,0
366266,44107,For profit - Corporation,05/15/2003,5,1.62073,4.2293,0,17,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,13,0
675145,79762,For profit - Individual,04/29/1993,3,0.52924,3.29612,21723,27,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,15,4
445381,38261,For profit - Corporation,08/07/1996,3,0.52746,3.77707,0,24,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,9,0
415098,02914,For profit - Limited Liability company,07/01/1991,2,1.03709,3.50933,0,29,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,12,0
445279,37352,For profit - Corporation,03/12/1992,5,0.41748,3.74154,0,28,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,3,0
465097,84003,For profit - Corporation,08/21/1984,3,1.12518,3.89419,24186,36,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,39,2
315472,08816,For profit - Corporation,02/04/2002,5,0.75759,4.15124,0,18,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,6,0
365363,45014,For profit - Corporation,01/12/1978,3,0.78187,3.89267,0,43,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,47,1
675025,79912,Non profit - Corporation,05/01/1992,3,0.50343,4.00365,0,28,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,16,1
676258,77055,For profit - Corporation,09/28/2010,5,0.39815,3.57181,0,10,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,13,0
295071,89014,For profit - Individual,07/27/1999,3,0.7461,4.17201,0,21,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,50,0
495283,23227,Non profit - Corporation,10/01/1993,1,0.32549,2.87903,0,27,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,67,1
505033,99223,Non profit - Church related,01/01/1967,5,1.30233,5.26075,0,54,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,36,0
525499,54015,For profit - Corporation,12/01/1992,5,1.08293,3.68935,0,28,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,4,0
525611,54481,Government - County,05/01/1997,5,0.97829,4.46086,0,23,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0
425412,29072,For profit - Corporation,04/20/2018,4,0.69519,5.25051,0,2,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,10,0
515187,24740,For profit - Corporation,06/01/2004,2,0.5686,4.447,29364,16,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,35,1
505309,98239,For profit - Individual,01/27/1987,2,0.6519,5.18793,159539,33,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,97,14
525713,54751,Government - County,10/01/2013,5,0.78501,3.8266,0,7,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,11,0
455940,79414,For profit - Corporation,06/30/1991,1,0.4926,3.64579,0,29,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,23,4
345463,28792,For profit - Corporation,07/19/1994,3,0.96535,3.43136,0,26,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,11,0
335789,12524,For profit - Corporation,10/12/1995,2,0.92433,3.89239,0,25,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,9,0
395558,19148,For profit - Corporation,11/29/1982,1,0.79053,3.74633,9168,38,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,46,2
305102,03570,Government - County,04/30/2017,5,0.87108,4.77065,0,3,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
355089,58270,Non profit - Corporation,01/01/1984,4,0.73708,4.0632,0,37,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,14,0
366251,45231,For profit - Individual,12/23/2002,3,0.49756,3.36166,0,18,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,35,0
335280,12180,For profit - Corporation,02/01/1969,1,0.70276,3.28212,0,51,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,23,0
505455,98198,Non profit - Corporation,01/01/1992,5,1.56622,4.68078,14729,29,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,45,4
366012,44813,For profit - Corporation,04/12/1995,5,0.40099,2.94861,0,25,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,7,0
445123,37377,Non profit - Church related,06/01/1978,3,0.77043,4.00759,27918,42,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,14,2
315236,07103,For profit - Limited Liability company,12/01/1986,2,0.37936,3.41846,0,34,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,30,0
366167,45255,For profit - Individual,02/21/1999,3,0.28536,3.8271,6500,21,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,32,1
525380,53590,For profit - Partnership,06/01/1984,5,0.63857,4.05447,0,36,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,9,0
315393,07103,Non profit - Corporation,12/01/1997,4,0.78644,5.19711,0,23,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,17,0
335615,14626,For profit - Corporation,01/01/1978,3,0.77721,3.88137,0,43,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,16,0
435041,57401,For profit - Corporation,12/01/1989,2,0.63904,2.89938,0,31,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,14,1
675979,77802,Non profit - Corporation,06/27/2003,4,0.52397,4.61718,0,17,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,14,0
